src_ip,dst_ip,src_port,dst_port,protocol,start_time,end_time,duration_seconds,packet_count,byte_count,termination_reason
192.168.1.9,192.168.1.255,60390,15600,UDP,1789895320.675106,1789895320.675106,0.0,1,77,end_of_capture
192.168.1.8,239.255.255.250,51239,1900,UDP,1789895322.723891,1789895322.723897,5.9604644775390625e-06,3,1371,end_of_capture
192.168.1.8,239.255.255.250,38133,1900,UDP,1789895322.723898,1789895322.723898,0.0,1,482,end_of_capture
192.168.1.8,239.255.255.250,56867,1900,UDP,1789895322.7239,1789895322.728689,0.004788875579833984,3,1371,end_of_capture
192.168.1.8,239.255.255.250,47880,1900,UDP,1789895322.728691,1789895322.728691,0.0,1,482,end_of_capture
192.168.1.9,239.255.255.250,41292,15600,UDP,1789895323.644164,1789895323.644164,0.0,1,77,end_of_capture
192.168.1.6,17.57.146.22,56676,5223,TCP,1789895325.471356,1789895326.230306,0.7589499950408936,3,224,end_of_capture
17.57.146.22,192.168.1.6,5223,56676,TCP,1789895325.552436,1789895326.302947,0.7505109310150146,3,222,end_of_capture
192.168.1.6,104.18.19.125,53131,443,TCP,1789895431.751147,1789895431.751147,0.0,1,54,end_of_capture
104.18.19.125,192.168.1.6,443,53131,TCP,1789895431.78878,1789895431.78878,0.0,1,66,end_of_capture
192.168.1.9,192.168.1.255,35440,15600,UDP,1789895326.711873,1789895326.711873,0.0,1,77,end_of_capture
192.168.1.8,239.255.255.250,41407,1900,UDP,1789895329.072759,1789895329.072766,7.152557373046875e-06,3,1369,end_of_capture
192.168.1.8,239.255.255.250,59639,1900,UDP,1789895329.072769,1789895329.072769,0.0,1,474,end_of_capture
192.168.1.8,239.255.255.250,33260,1900,UDP,1789895329.07277,1789895329.07277,0.0,1,478,end_of_capture
192.168.1.8,239.255.255.250,39293,1900,UDP,1789895329.072773,1789895329.072773,0.0,1,496,end_of_capture
192.168.1.8,239.255.255.250,33131,1900,UDP,1789895329.072775,1789895329.072775,0.0,1,478,end_of_capture
192.168.1.8,239.255.255.250,59947,1900,UDP,1789895329.072777,1789895329.072777,0.0,1,482,end_of_capture
192.168.1.8,239.255.255.250,48708,1900,UDP,1789895329.135566,1789895329.135573,6.9141387939453125e-06,3,1369,end_of_capture
192.168.1.8,239.255.255.250,53662,1900,UDP,1789895329.135575,1789895329.135575,0.0,1,474,end_of_capture
192.168.1.8,239.255.255.250,60123,1900,UDP,1789895329.135578,1789895329.135578,0.0,1,478,end_of_capture
192.168.1.8,239.255.255.250,34062,1900,UDP,1789895329.13558,1789895329.13558,0.0,1,496,end_of_capture
192.168.1.8,239.255.255.250,33366,1900,UDP,1789895329.137459,1789895329.137459,0.0,1,478,end_of_capture
192.168.1.8,239.255.255.250,37334,1900,UDP,1789895329.137462,1789895329.137462,0.0,1,482,end_of_capture
192.168.1.9,239.255.255.250,55142,15600,UDP,1789895329.685261,1789895329.685261,0.0,1,77,end_of_capture
192.168.1.8,239.255.255.250,47515,1900,UDP,1789895331.42417,1789895331.424175,5.0067901611328125e-06,3,1373,end_of_capture
192.168.1.8,239.255.255.250,56791,1900,UDP,1789895331.424177,1789895331.424177,0.0,1,484,end_of_capture
192.168.1.8,239.255.255.250,33707,1900,UDP,1789895331.52548,1789895331.525486,5.9604644775390625e-06,3,1373,end_of_capture
192.168.1.8,239.255.255.250,38645,1900,UDP,1789895331.525489,1789895331.525489,0.0,1,484,end_of_capture
192.168.1.6,104.18.39.85,56666,443,TCP,1789895451.617429,1789895452.274859,0.6574299335479736,5,1831,end_of_capture
104.18.39.85,192.168.1.6,443,56666,TCP,1789895451.673205,1789895452.328161,0.6549561023712158,6,585,end_of_capture
192.168.1.9,192.168.1.255,47414,15600,UDP,1789895332.656372,1789895332.656372,0.0,1,77,end_of_capture
